Subject,Question,Choice1,Choice2,Choice3,Choice4,CorrectAnswer,Explanation,,,,,,,,,,
Social Issues and Professional Practice,Which quality management standard requires an organization to have written procedures for everything it does and to follow those procedures?,ISO 9000,CMMI,FMEA,IEEE,ISO 9000,ISO 9000 requires written procedures and adherence to them.,,,,,,,,,,
Social Issues and Professional Practice,According to the AITP Standards of Conduct,to whom does an IT professional have an obligation to 'promote the understanding of information processing methods and procedures'?,Fellow members,Management,Society,Employer,Management,The AITP Standards of Conduct state an obligation to management to promote understanding of information processing methods.,,,,,,,,,
Social Issues and Professional Practice,Which point is included in the 'Code of Ethics for Filipino IT Professionals' preamble?,To use social knowledge and skills for the benefit of employers and clients with integrity,To prioritize personal gain over client interests,To avoid professional development,To share confidential information publicly,To use social knowledge and skills for the benefit of employers and clients with integrity,The preamble emphasizes using knowledge for the benefit of employers and clients with integrity.,,,,,,,,,,
Social Issues and Professional Practice,According to the IEEE Code of Ethics,members agree 'to treat fairly all persons regardless of such factors as' what?,Skill level,Job title,"Race, religion, gender, disability, age, or national origin",Years of experience,"Race, religion, gender, disability, age, or national origin",The IEEE Code of Ethics mandates fair treatment regardless of race,religion,etc.,,,,,,,
Social Issues and Professional Practice,Which ISOC core value states that the Internet's open and decentralized nature is a prerequisite for it to continue being a platform for new ideas?,Quality of Life,Informed Individuals,Innovation and Creativity,Global and Local,Innovation and Creativity,The ISOC core value of Innovation and Creativity emphasizes the Internet's open nature as a platform for ideas.,,,,,,,,,,
Social Issues and Professional Practice,In the context of software related contracts,what is the critical part that provides the criteria by which successful completion of the contract is judged?,Indemnity,Arbitration,Acceptance procedure,Inflation,Acceptance procedure,The acceptance procedure provides the criteria for judging successful contract completion.,,,,,,,,,
Social Issues and Professional Practice,Which section of a software contract involves one party protecting the other for liability arising from its own faults?,Indemnity,Termination,Applicable law,Arbitration,Indemnity,The indemnity section involves one party indemnifying the other for liability from its own faults.,,,,,,,,,,
Social Issues and Professional Practice,According to the AITP Standards of Conduct,an IT professional should 'take appropriate action in regard to any illegal or unethical practices' in recognition of their obligation to whom?,Management,Fellow members and the profession,Society,Employer,Fellow members and the profession,This action is taken in recognition of the obligation to fellow members and the profession.,,,,,,,,,
Social Issues and Professional Practice,Which privacy policy assumes that consumers approve of companies collecting and storing their personal information unless they actively decline?,Opt-in policy,Opt-out policy,Privacy by design,Fair information practices,Opt-out policy,An opt-out policy assumes approval unless the consumer explicitly declines.,,,,,,,,,,
Social Issues and Professional Practice,Which act was passed in 1998 to specifically combat the fastest growing form of fraud in the United States by protecting key pieces of personal information?,Computer Fraud and Abuse Act,Identity Theft and Assumption Deterrence Act,USA Patriot Act,Privacy Act of 1974,Identity Theft and Assumption Deterrence Act,The Identity Theft and Assumption Deterrence Act of 1998 was passed to fight identity theft fraud.,,,,,,,,,,
Social Issues and Professional Practice,What is the name of the executive responsible for overseeing an organization's data privacy policies and initiatives?,Chief Information Officer (CIO),Chief Privacy Officer (CPO),Chief Technology Officer (CTO),Chief Security Officer (CSO),Chief Privacy Officer (CPO),The CPO is the executive who oversees data privacy.,,,,,,,,,,
Social Issues and Professional Practice,Which 1980 guidelines provide a framework for the protection of privacy and transborder flows of personal data?,WIPO Guidelines,OECD Privacy Guidelines,ISO 27001,GDPR,OECD Privacy Guidelines,The 1980 OECD Privacy Guidelines provide a framework for privacy protection.,,,,,,,,,,
Social Issues and Professional Practice,In a public key encryption system what is the purpose of the private key?,To be readily available to anyone,To decode messages encrypted with the corresponding public key,To encode messages for everyone to read,To track the location of the sender,To decode messages encrypted with the corresponding public key,The private key is kept secret and used to decode messages encrypted with its public key.,,,,,,,,,,
Social Issues and Professional Practice,What term refers to the data collected as a user surfs the Web including pages visited and time spent on each?,Click-stream data,Cookies,Phishing logs,GPS coordinates,Click-stream data,Click-stream data is the record of a user's activity while surfing the Web.,,,,,,,,,,
Social Issues and Professional Practice,Which act regulates the transmission of commercial electronic communication and prohibits disguise of sender identity?,USA Patriot Act,CAN-SPAM Act,Communications Act of 1934,Foreign Intelligence Surveillance Act,CAN-SPAM Act,The CAN-SPAM Act regulates commercial e-mails and forbids disguise of identity.,,,,,,,,,,
Social Issues and Professional Practice,In the context of computer security,what are the three aspects of security?,Prevention,detection,reaction;Encryption,decryption,authentication;Hacking,phishing,spamming;Hardware,software,middleware,Prevention,detection,reaction,Security is about protection of assets through prevention,detection,and reaction.
Social Issues and Professional Practice,Which security objective ensures that information is changed only in a specified and authorized manner?,Confidentiality,Integrity,Availability,Authenticity,Integrity,Integrity ensures that data or the system is free from unauthorized manipulation.,,,,,,,,,,
Social Issues and Professional Practice,What is the security objective that assures systems work promptly and service is not denied to authorized users?,Confidentiality,Integrity,Availability,Accountability,Availability,Availability assures that systems are accessible when needed without extra delay.,,,,,,,,,,
Social Issues and Professional Practice,Which security term refers to a potential for violation of security,which exists when there is a circumstance,capability,action,or event that could breach security?,Adversary,Attack,Countermeasure,Threat,Threat,A threat is a potential violation of security that could exploit a vulnerability.,,,,,,
Social Issues and Professional Practice,What is the name of the security objective that refers to being able to trace the responsible party for a security incident or action?,Authenticity,Accountability,Non-repudiation,Confidentiality,Accountability,Accountability is the ability to trace actions to a specific entity.,,,,,,,,,,
Social Issues and Professional Practice,In an active attack,what occurs during a 'masquerade'?,The attacker monitors transmissions without modification,The attacker pretends to be a different entity,The attacker delays or redirects messages,The attacker prevents normal use of communication facilities,The attacker pretends to be a different entity,Masquerade is an active attack where an entity pretends to be someone else.,,,,,,,,,
Social Issues and Professional Practice,Which security mechanism involves the use of mathematical algorithms to transform data into a form that is not readily intelligible?,Digital Signature,Encryption (Encipherment),Message Digest,Traffic Padding,Encryption (Encipherment),Encryption transforms data into an unintelligible form using keys.,,,,,,,,,,
Social Issues and Professional Practice,What is defined as the set of all reachable and exploitable vulnerabilities in a system?,Risk profile,Attack surface,Security policy,Access channel,Attack surface,An attack surface consists of the reachable and exploitable vulnerabilities.,,,,,,,,,,
Social Issues and Professional Practice,Which type of attack surface refers to vulnerabilities created by personnel or outsiders,such as through social engineering?,Network attack surface,Software attack surface,Human attack surface,Physical attack surface,Human attack surface,The human attack surface refers to vulnerabilities created by people.,,,,,,,,,
Social Issues and Professional Practice,What is the fundamental tradeoff discussed in Lesson 15 regarding computer security?,Tradeoff between cost and performance,Tradeoff between security and ease-of-use,Tradeoff between hardware and software,Tradeoff between encryption and decryption,Tradeoff between security and ease-of-use,Security often requires restrictions that may decrease ease-of-use.,,,,,,,,,,
Social Issues and Professional Practice,Which security concept refers to verifying that users are who they say they are and that each input arriving at the system came from a trusted source?,Integrity,Availability,Authenticity,Accountability,Authenticity,Authenticity involves verifying identities and the source of inputs.,,,,,,,,,,
Social Issues and Professional Practice,In the 1991 Gulf War what was the cause of the Patriot Missile failure that resulted in the death of 28 soldiers?,A computer virus,A tiny truncation error in the clock,A physical hit by a Scud missile,A power outage,A tiny truncation error in the clock,The failure was caused by a clock error of 0.3433 seconds due to truncation.,,,,,,,,,,
Social Issues and Professional Practice,What was the primary cause of the Ariane 5 rocket self-destructing 40 seconds after its maiden flight?,A fuel leak,An integer overflow (statement assigning floating-point to integer raised exception),A navigation system hack,A communication failure,An integer overflow (statement assigning floating-point to integer raised exception),The crash was caused by an unhandled integer overflow exception.,,,,,,,,,,
Social Issues and Professional Practice,The Mars Climate Orbiter disintegrated in the Martian atmosphere because of what error?,A software virus,A unit conversion error (Lockheed Martin used English units while JPL used metric units),A communication delay,A mechanical failure,A unit conversion error (Lockheed Martin used English units while JPL used metric units),The failure was due to the inconsistent use of measurement units.,,,,,,,,,,
Social Issues and Professional Practice,What software-related error in the Therac-25 radiation machine caused it to maim and kill patients?,Integer overflow,Race conditions (specifically in command screen editing),Truncation error,Memory leak,Race conditions (specifically in command screen editing),Two race conditions in the software caused the machine to deliver overdoses.,,,,,,,,,,
Social Issues and Professional Practice,Which type of warranty is typically used for software products where the user accepts the software 'as is' upon opening the package?,Implied warranty,Shrinkwrap warranty,Express warranty,Service level agreement,Shrinkwrap warranty,Shrinkwrap warranties often state that the user accepts the software 'as is.',,,,,,,,,,
Social Issues and Professional Practice,In the context of computer simulations what is the term for ensuring that the program correctly implements the model?,Validation,Verification,Accreditation,Simulation,Verification,Verification asks: 'Does the program correctly implement the model?',,,,,,,,,,
Social Issues and Professional Practice,According to the 'Hacking Communities Constitution' what should hacking be used for?,To steal money from banks,To test the integrity of networks that hold and safeguard valuable information,To destroy government databases,To monitor the private lives of individuals,To test the integrity of networks that hold and safeguard valuable information,The hacking constitution views hacking as a tool to test network integrity.,,,,,,,,,,
Social Issues and Professional Practice,Which of the following is one of the 'Ten Commandments of Computer Ethics'?,Thou shalt use a computer to bear false witness,Thou shalt not appropriate other people's intellectual output,Thou shalt copy or use proprietary software for which you have not paid,Thou shalt interfere with other people's computer work,Thou shalt not appropriate other people's intellectual output,Commandment 8 states: 'Thou shalt not appropriate other people's intellectual output.',,,,,,,,,,
Social Issues and Professional Practice,What was the cause of the Tokyo Stock Exchange failure where Mizuho Securities lost $225 million?,A hardware fire,A software bug that allowed employee overrides of computer warnings,A power failure,A physical theft of servers,A software bug that allowed employee overrides of computer warnings,Mizuho lost money when a bug allowed an erroneous order to proceed despite warnings.,,,,,,,,,,
